gemeenten_2022,bevolking_totaal
Aa en Hunze,25579
Assen,68979
Borger-Odoorn,25681
Coevorden,35517
De Wolden,24511
Emmen,107856
Hoogeveen,55857
Meppel,34761
Midden-Drenthe,33689
Noordenveld,31238
Tynaarlo,34221
Westerveld,19854
Almere,217828
Dronten,42865
Lelystad,81214
Noordoostpolder,48048
Urk,21468
Zeewolde,23348
Achtkarspelen,27954
Ameland,3757
Dantumadeel,NA
De Fryske Marren,51597
Harlingen,15904
Heerenveen,51119
Leeuwarden,125504
Noardeast-Fryslân,45593
Ooststellingwerf,25680
Opsterland,29791
Schiermonnikoog,944
Smallingerland,55895
Súdwest-Fryslân,90300
Terschelling,4960
Tytsjerksteradiel,32282
Vlieland,1195
Waadhoeke,46309
Weststellingwerf,26278
Aalten,27100
Apeldoorn,165611
Arnhem,163888
Barneveld,60584
Berg en Dal,34951
Berkelland,43850
Beuningen,26235
Bronckhorst,36077
Brummen,20890
Buren,27155
Culemborg,29397
Doesburg,11036
Doetinchem,58546
Druten,19178
Duiven,24946
Ede,119986
Elburg,23740
Epe,33257
Ermelo,27258
Harderwijk,48857
Hattem,12307
Heerde,18976
Heumen,17175
Kesteren,NA
Lingewaard,46963
Lochem,34069
Maasdriel,25504
Montferland,36359
Nijkerk,44311
Nijmegen,179100
Nunspeet,28223
Oldebroek,23930
Oost Gelre,29603
Oude IJsselstreek,39387
Overbetuwe,48266
Putten,24598
Renkum,31358
Rheden,43435
Rozendaal,1756
Scherpenzeel,10317
Tiel,42277
Voorst,24994
Wageningen,39939
West Betuwe,51971
West Maas en Waal,19675
Westervoort,14944
Wijchen,41344
Winterswijk,29185
Zaltbommel,29957
Zevenaar,44645
Zutphen,48330
Eemsdelta,45389
Groningen,234950
Het Hogeland,48022
Midden-Groningen,60898
Oldambt,38521
Pekela,12196
Stadskanaal,31851
Veendam,27466
Westerkwartier,64306
Westerwolde,26571
IJsselmeer,NA
Beek,15817
Beekdaelen,35922
Beesel,13408
Bergen,29723
